hour,lead_time_hours,variable,models_reporting,providers_reporting,model_spread,provider_spread
2026-08-08T12:00,132,swell_wave_height,4,3,0.60,0.50
2026-08-08T12:00,132,swell_wave_period,4,3,3.50,2.95
2026-08-08T12:00,132,swell_wave_direction,4,3,63.00,53.00
2026-08-08T13:00,133,swell_wave_height,4,3,0.56,0.41
2026-08-08T13:00,133,swell_wave_period,4,3,3.40,2.72
2026-08-08T13:00,133,swell_wave_direction,4,3,64.00,49.00
2026-08-08T14:00,134,swell_wave_height,4,3,0.54,0.44
2026-08-08T14:00,134,swell_wave_period,4,3,3.40,2.88
2026-08-08T14:00,134,swell_wave_direction,4,3,64.00,54.50
2026-08-08T15:00,135,swell_wave_height,4,3,0.50,0.44
2026-08-08T15:00,135,swell_wave_period,4,3,3.40,3.18
2026-08-08T15:00,135,swell_wave_direction,4,3,66.00,61.00
2026-08-08T16:00,136,swell_wave_height,4,3,0.48,0.47
2026-08-08T16:00,136,swell_wave_period,4,3,3.45,3.45
2026-08-08T16:00,136,swell_wave_direction,4,3,67.00,66.50
2026-08-08T17:00,137,swell_wave_height,4,3,0.46,0.45
2026-08-08T17:00,137,swell_wave_period,4,3,3.50,3.45
