generator,scatter,candidate,band,rows,served_baseline_mae,served_learned_mae,served_gain_m,served_gain_p5,served_gain_p95
regime-aware,none,all-hours,measured target 2-3 m,7511,0.1926,0.2184,-0.0258,-0.0258,-0.0258
regime-aware,none,combined-sea-3m,measured target 2-3 m,7511,0.1926,0.2158,-0.0233,-0.0233,-0.0233
regime-aware,none,band-fitted,measured target 2-3 m,7511,0.1926,0.2178,-0.0253,-0.0253,-0.0253
regime-aware,none,regime-aware,measured target 2-3 m,7511,0.1926,0.2145,-0.0219,-0.0219,-0.0219
regime-aware,none,shipped,measured target 3-4 m,3383,0.2787,0.2757,0.0029,0.0029,0.0029
regime-aware,none,period-sea-3m,measured target 3-4 m,3383,0.2787,0.2757,0.0029,0.0029,0.0029
regime-aware,none,period-op-sea-3m,measured target 3-4 m,3383,0.2787,0.2756,0.0031,0.0031,0.0031
regime-aware,none,swell-3m,measured target 3-4 m,3383,0.2787,0.2899,-0.0112,-0.0112,-0.0112
regime-aware,none,all-hours,measured target 3-4 m,3383,0.2787,0.2764,0.0023,0.0023,0.0023
regime-aware,none,combined-sea-3m,measured target 3-4 m,3383,0.2787,0.2799,-0.0012,-0.0012,-0.0012
regime-aware,none,band-fitted,measured target 3-4 m,3383,0.2787,0.2741,0.0046,0.0046,0.0046
regime-aware,none,regime-aware,measured target 3-4 m,3383,0.2787,0.2779,0.0007,0.0007,0.0007
regime-aware,none,shipped,measured target 4-5 m,1127,0.4231,0.3145,0.1086,0.1086,0.1086
regime-aware,none,period-sea-3m,measured target 4-5 m,1127,0.4231,0.3145,0.1086,0.1086,0.1086
regime-aware,none,period-op-sea-3m,measured target 4-5 m,1127,0.4231,0.3145,0.1086,0.1086,0.1086
regime-aware,none,swell-3m,measured target 4-5 m,1127,0.4231,0.3388,0.0843,0.0843,0.0843
regime-aware,none,all-hours,measured target 4-5 m,1127,0.4231,0.3143,0.1088,0.1088,0.1088
regime-aware,none,combined-sea-3m,measured target 4-5 m,1127,0.4231,0.3218,0.1013,0.1013,0.1013
regime-aware,none,band-fitted,measured target 4-5 m,1127,0.4231,0.3129,0.1102,0.1102,0.1102
regime-aware,none,regime-aware,measured target 4-5 m,1127,0.4231,0.3209,0.1022,0.1022,0.1022
regime-aware,none,shipped,measured target 5-6 m,415,0.6574,0.4471,0.2103,0.2103,0.2103
regime-aware,none,period-sea-3m,measured target 5-6 m,415,0.6574,0.4471,0.2103,0.2103,0.2103
regime-aware,none,period-op-sea-3m,measured target 5-6 m,415,0.6574,0.4472,0.2102,0.2102,0.2102
regime-aware,none,swell-3m,measured target 5-6 m,415,0.6574,0.4733,0.1841,0.1841,0.1841
regime-aware,none,all-hours,measured target 5-6 m,415,0.6574,0.4459,0.2115,0.2115,0.2115
regime-aware,none,combined-sea-3m,measured target 5-6 m,415,0.6574,0.4508,0.2066,0.2066,0.2066
regime-aware,none,band-fitted,measured target 5-6 m,415,0.6574,0.4476,0.2098,0.2098,0.2098
regime-aware,none,regime-aware,measured target 5-6 m,415,0.6574,0.4487,0.2087,0.2087,0.2087
regime-aware,none,shipped,measured target 6 m and above,325,0.9961,0.6357,0.3604,0.3604,0.3604
regime-aware,none,period-sea-3m,measured target 6 m and above,325,0.9961,0.6357,0.3604,0.3604,0.3604
regime-aware,none,period-op-sea-3m,measured target 6 m and above,325,0.9961,0.6358,0.3603,0.3603,0.3603
regime-aware,none,swell-3m,measured target 6 m and above,325,0.9961,0.6204,0.3757,0.3757,0.3757
regime-aware,none,all-hours,measured target 6 m and above,325,0.9961,0.6339,0.3622,0.3622,0.3622
regime-aware,none,combined-sea-3m,measured target 6 m and above,325,0.9961,0.6221,0.374,0.374,0.374
regime-aware,none,band-fitted,measured target 6 m and above,325,0.9961,0.6413,0.3548,0.3548,0.3548
regime-aware,none,regime-aware,measured target 6 m and above,325,0.9961,0.621,0.3751,0.3751,0.3751
regime-aware,proportional,shipped,all hours,28426,0.2268,0.246,-0.0192,-0.0203,-0.0183
regime-aware,proportional,period-sea-3m,all hours,28426,0.2268,0.246,-0.0192,-0.0203,-0.0183
regime-aware,proportional,period-op-sea-3m,all hours,28426,0.2268,0.246,-0.0192,-0.0202,-0.0183
regime-aware,proportional,swell-3m,all hours,28426,0.2268,0.3148,-0.088,-0.0892,-0.0869
regime-aware,proportional,all-hours,all hours,28426,0.2268,0.2468,-0.02,-0.0211,-0.019
regime-aware,proportional,combined-sea-3m,all hours,28426,0.2268,0.2509,-0.0241,-0.0251,-0.0231
regime-aware,proportional,band-fitted,all hours,28426,0.2268,0.2462,-0.0194,-0.0205,-0.0185
regime-aware,proportional,regime-aware,all hours,28426,0.2268,0.2462,-0.0194,-0.0205,-0.0184
regime-aware,proportional,shipped,Combined Sea >= 3 m,4473,0.5137,0.508,0.0057,-0.0002,0.0109
regime-aware,proportional,period-sea-3m,Combined Sea >= 3 m,4473,0.5137,0.508,0.0057,-0.0002,0.0109
